variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd,proposal
tree_length,2.929010110515845,92,-0.21105206779078983,3.2013552496521362,3.0906921107642003,1.2904168245641627,1.1829768012320956,1.3107798941122726,5.346582610109526,0.9980580495038808,230.8329280666683,215.5814853547872,200,data_set_1,0.9859461252467162,5.525492596606263,0.95,STL
max_branch,1.235933847835514,124,0.12970406315681807,1.159900130569168,1.0570691695668213,0.5862092167029316,0.5207852782072264,0.4136749241417387,2.2361211546509696,0.9958712421248764,249.6533095389586,164.04707946487315,200,data_set_1,0.2560743693865002,2.3668525730186163,0.95,STL
range_branch,1.179682139769346,125,0.11770499265232962,1.1109601298237832,1.0070505852142,0.5838495750859947,0.5404397084992034,0.38168164687488054,2.2220014880234964,0.9958666800818681,245.67118688992312,190.34185921391284,200,data_set_1,0.24300991358020002,2.315038833128119,0.95,STL
RF_dist,3,56,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_1,3,3,0.95,STL
BHV_dist,2.7376164789614594,136,0.15287800249433595,2.6541910489354876,2.4955947890052053,0.5456993724722605,0.3712167744460447,2.0857332416819485,3.6855972808621225,1.0028878418680098,252.00600814777405,182.96262474724406,200,data_set_1,2.0375551015647226,3.874519766005548,0.95,STL
KC_dist,3.4641016151377544,89,0.31136374106007064,3.3949939315861672,3.4641016151377544,0.2219516097677358,0,3.1622776601683795,3.471174098154064,0.998658292730456,202.77988603322333,158.25684948614662,200,data_set_1,3.1622776601683795,3.605551275463989,0.95,STL
tree_length,2.444288350467478,35,-0.8856945704755179,3.585686470212862,3.37198992161312,1.2887039819297776,1.1703891129490283,1.8361795176303042,5.9280792292088345,0.9982912971423196,227.6281007989021,183.81776436968573,200,data_set_2,1.2912436289061255,6.043454706941877,0.95,STL
max_branch,0.6095970220852825,22,-1.0432891202530425,1.170834632058052,1.0357300228466348,0.537950218283351,0.45187851610327334,0.49325964139056483,2.1632033189694986,0.9969096417871149,140.42018778589159,183.81776436968573,200,data_set_2,0.31110992531273385,2.356644544929442,0.95,STL
range_branch,0.6082067518495756,30,-0.9188942061670989,1.0966260811249273,0.9679366242250964,0.5315294470216017,0.47945528351408756,0.41013870271275227,2.1196945058300796,1.0005197430080701,143.15530257863318,183.81776436968573,200,data_set_2,0.18554896250405528,2.12705835637527,0.95,STL
RF_dist,3,116,0.39406727514605927,2.865,3,0.34258109849381085,0,2,3,1.000327109650736,160.918163658837,NA,200,data_set_2,2,3,0.95,STL
BHV_dist,2.3167574864555145,45,-0.6900167554654516,2.6979353363431495,2.5678064699915453,0.5524182519749264,0.4208783418725062,2.0633326274384043,3.8091297011687235,1.0006675437870003,190.49829447482497,181.8165087595598,200,data_set_2,1.8828944718274574,3.8762667449809882,0.95,STL
KC_dist,4.58257569495584,143,1.2341892672163275,3.7592879102546,3.872983346207417,0.6670676909694229,1.0520416162544115,2.6457513110645907,4.58257569495584,1.0451845741934882,33.5422932778511,NA,200,data_set_2,2.6457513110645907,4.58257569495584,0.95,STL
tree_length,2.65436972619733,92,-0.2647841343264284,2.995880455502805,2.784892015785779,1.2897703639767837,1.2140910283581747,1.3666735164476909,5.226436676508297,1.0060903483904202,139.98227614028468,177.8359444166442,200,data_set_3,1.1149447161821582,5.4702855321253185,0.95,STL
max_branch,1.1185266323589675,114,-0.03205099937626968,1.1382925801632273,1.017787783723465,0.6167030104806759,0.550453047153256,0.42596847328168674,2.2967490563494395,1.0089804056233447,129.40820152969812,120.31795543965484,200,data_set_3,0.3030438361842016,2.3458094028538845,0.95,STL
