variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd,proposal
tree_length,2.929010110515845,111,-0.0581181398670031,2.9997081503245857,2.822986602764491,1.2164539328086807,1.1108192005741468,1.4094808840220578,5.306687348955395,1.0044491233646373,179.60038820032065,224.40597791289792,200,data_set_1,0.7949867093256193,5.418756319095168,0.95,default
max_branch,1.235933847835514,139,0.30630241137099173,1.0723453388880364,0.9620396325975406,0.5340751586488168,0.4262351746261401,0.390642531954769,2.036495574646017,0.9990865284133686,215.7158679081663,93.81687557321915,200,data_set_1,0.2607888586833842,2.0568314137883394,0.95,default
range_branch,1.179682139769346,136,0.2901193219448212,1.0252431138992875,0.9151416166436566,0.5323293355119306,0.4496459653588434,0.38218897908151206,1.9613929338912843,0.9978032518600172,218.37684230004652,93.81687557321915,200,data_set_1,0.19036099399278755,2.027776320453472,0.95,default
RF_dist,3,122,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_1,3,3,0.95,default
BHV_dist,2.7376164789614594,146,0.35222353283367164,2.5604515114802915,2.4232218029645782,0.5029901496241862,0.35399761431304116,2.05544187512753,3.444794732128574,0.9955836322683306,218.4821412216674,184.50039724965913,200,data_set_1,1.848883877451595,3.4569584513221128,0.95,default
KC_dist,3.4641016151377544,172,0.3252435460217374,3.3957386596005334,3.4641016151377544,0.2101900448860927,0,3.1622776601683795,3.6189228790011563,0.9970077315547936,187.0372375171737,196.7033537267056,200,data_set_1,3.1622776601683795,3.872983346207417,0.95,default
tree_length,2.444288350467478,35,-1.0050256573003926,3.772981581446236,3.6097844834941624,1.3220490654415447,1.393050871462308,1.9383363456370635,5.887765681830405,1.0016647971388817,176.6736522151638,182.72602753033289,200,data_set_2,1.6496287535455323,6.1858079453118835,0.95,default
max_branch,0.6095970220852825,20,-1.198053230246962,1.2596180580865644,1.1909208388757904,0.5425644033089323,0.5398762723025724,0.5131866431942896,2.1679616810272715,1.0002547335986633,192.3777918520745,219.05118051561786,200,data_set_2,0.3191934072371781,2.249069423937919,0.95,default
range_branch,0.6082067518495756,25,-1.1063856417976181,1.1860541028455094,1.112610501934248,0.5222838485657377,0.4922120721244104,0.48936387082954325,2.1096323847271194,1.0067496095066504,196.79496431998797,183.81776436968573,200,data_set_2,0.2915207708693559,2.111818418530305,0.95,default
RF_dist,3,91,0.4272175006942106,2.845,3,0.36281285234835015,0,2,3,0.9951773745784478,134.39832267908736,NA,200,data_set_2,2,3,0.95,default
