variable,width,width_represented,ci_low,estimate,ci_high,trunc,n_obs
mu,0.5,0.5,0.4207145148870442,0.464,0.5078429784715044,0,5
mu,0.9,0.9,0.870545511902789,0.9,0.9232631397402855,0,5
mu,0.95,0.95,0.9019059505694803,0.928,0.947471040671098,0,5
mu,0.5,0.5,0.40692779502732046,0.45,0.49384650025232935,1,5
mu,0.9,0.9,0.8441766296343933,0.876,0.9020027446461801,1,5
mu,0.95,0.95,0.8973766616327231,0.924,0.944061904556424,1,5
mu,0.5,0.5,0.40496107615142424,0.448,0.49184419075304475,1.5,5
mu,0.9,0.9,0.8224718482426736,0.856,0.8840167201502571,1.5,5
mu,0.95,0.95,0.874981208412622,0.904,0.9267657053197547,1.5,5
mu,0.5,0.5,0.4444285701983165,0.488,0.5317572611604334,0,10
mu,0.9,0.9,0.8617114270890815,0.892,0.9162207487279843,0,10
mu,0.95,0.95,0.9225554754542465,0.946,0.9625451150423207,0,10
mu,0.5,0.5,0.4404692652757613,0.484,0.5277785098383552,1,10
mu,0.9,0.9,0.8354684604258529,0.868,0.8948345700842473,1,10
mu,0.95,0.95,0.8794302488540529,0.908,0.9302549458537686,1,10
mu,0.5,0.5,0.3775015572050809,0.42,0.4637373096782549,1.5,10
mu,0.9,0.9,0.8224718482426736,0.856,0.8840167201502571,1.5,10
mu,0.95,0.95,0.8794302488540529,0.908,0.9302549458537686,1.5,10
mu,0.5,0.5,0.43453552341768814,0.478,0.5218051672776594,0,50
mu,0.9,0.9,0.890616508473334,0.918,0.9389144891792669,0,50
mu,0.95,0.95,0.9414086235067074,0.962,0.9754481326748979,0,50
mu,0.5,0.5,0.4682427388395666,0.512,0.5555714298016835,1,50
mu,0.9,0.9,0.8639154800719482,0.894,0.9179858092217879,1,50
mu,0.95,0.95,0.9041778521823874,0.93,0.9491683677174546,1,50
mu,0.5,0.5,0.4148017094603242,0.458,0.5018486991156135,1.5,50
mu,0.9,0.9,0.8398179440492813,0.872,0.8984232543332384,1.5,50
mu,0.95,0.95,0.9041778521823874,0.93,0.9491683677174546,1.5,50
